,Linear Regression,Ridge Regression,Lasso Regression,KNN,RandomForest Regressor,Bagging Regressor,AdaBoost Regressor,XGBoost Regressor
MSLE,0.00016685321795761353,0.0001668531969572901,0.00016692787597387998,8.373842857748449e-05,4.0822114594265205e-05,7.950914594449981e-05,4.191184637247491e-05,5.538940685972791e-05
Root MSLE,0.01291716756714155,0.012917166754257301,0.012920057119605933,0.009150870372674093,0.006389218621573784,0.00891679011441336,0.0064739359258858065,0.00744240598595158
R2 Score,0.6273904797552831,0.6273906233530839,0.6272597794806495,0.8149826590168977,0.9105573198750214,0.8250345167037921,0.9078353459295788,0.8777850540552606
Accuracy(%),62.739,62.7391,62.726,81.4983,91.0557,82.5035,90.7835,87.7785
